venue_slug,filename,role,position,web_path,bytes
24-7-pickle-mandaluyong,24-7-pickle-mandaluyong-court.jpg,hero,0,images/venues/24-7-pickle-mandaluyong/24-7-pickle-mandaluyong-court.jpg,166374
24-7-pickle-mandaluyong,24-7-pickle-mandaluyong-court-2.jpg,gallery,1,images/venues/24-7-pickle-mandaluyong/24-7-pickle-mandaluyong-court-2.jpg,204392
2916-pickleballers-guillermo-badminton-and-pickleball-court,2916-pickleballers-guillermo-badminton-and-pickleball-court-bacarra.jpg,hero,0,images/venues/2916-pickleballers-guillermo-badminton-and-pickleball-court/2916-pickleballers-guillermo-badminton-and-pickleball-court-bacarra.jpg,130959
ace-e-resort-pickleball,ace-e-resort-pickleball-court-los-banos.jpg,hero,0,images/venues/ace-e-resort-pickleball/ace-e-resort-pickleball-court-los-banos.jpg,318819
ace-e-resort-pickleball,ace-e-resort-pickleball-court-los-banos-2.jpg,gallery,1,images/venues/ace-e-resort-pickleball/ace-e-resort-pickleball-court-los-banos-2.jpg,257189
ace-e-resort-pickleball,ace-e-resort-pickleball-court-los-banos-3.jpg,gallery,2,images/venues/ace-e-resort-pickleball/ace-e-resort-pickleball-court-los-banos-3.jpg,329156
ace-e-resort-pickleball,ace-e-resort-pickleball-court-los-banos-4.jpg,gallery,3,images/venues/ace-e-resort-pickleball/ace-e-resort-pickleball-court-los-banos-4.jpg,264772
actifit-sports-center,actifit-sports-center-pickleball-court-valenzuela.jpg,hero,0,images/venues/actifit-sports-center/actifit-sports-center-pickleball-court-valenzuela.jpg,316852
actifit-sports-center,actifit-sports-center-pickleball-court-valenzuela-2.jpg,gallery,1,images/venues/actifit-sports-center/actifit-sports-center-pickleball-court-valenzuela-2.jpg,324005
activate-sports-ph-lucena-lucena-city,activate-sports-ph-lucena-lucena-city-pickleball-court.jpg,hero,0,images/venues/activate-sports-ph-lucena-lucena-city/activate-sports-ph-lucena-lucena-city-pickleball-court.jpg,365673
